Date;Event;Gate
2018-09-30 01:08:41   ;Reader entry;E/0/KD1/7-9
2018-09-30 12:52:34  ;Reader entry;E/0/KD1/7-7
2018-09-30 13:08:59     ;Reader entry;E/0/KD1/7-8
2019-09-30 14:38:17;Reader entry;E/0/KD1/7-12
2019-09-30 15:48:41;Reader exit;E/0/KD1/7-12
2020-09-30 16:59:34  ;Reader entry;E/0/KD1/7-13
2020-09-30 17:08:59  ;Reader entry;E/0/KD1/7-18
2020-09-30 18:38:59  ;Reader exit;E/0/KD1/7-9
2020-12-31 19:33:33  ;Reader entry;E/0/KD1/7-0
2020-12-31 23:33:33  ;Reader exit;E/0/KD1/7-9
2020-01-01 00:33:33;Reader entry;E/0/KD1/7-9
2020-01-01 05:33:33  ;Reader exit;E/0/KD1/7-5
